Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
fc133669-9838-45a4-9216-ef24a0025237,"2020-06-01, 01:34:02 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:472858849231:trail/Udacity_Trail""}]",,us-east-1,,41.217.58.176
09465cfb-d2da-4885-9d85-0ca4efbd5822,"2020-06-01, 01:13:54 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:472858849231:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-femono-bucket""}]",,us-east-1,,41.217.58.176
d0b57ca3-527a-4eb0-b775-3913fd1e7f0e,"2020-06-01, 01:13:54 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,41.217.58.176
eac8f242-18e5-42c1-83d1-f3b46f5cf896,"2020-06-01, 01:13:54 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:472858849231:trail/Udacity_Trail""}]",,us-east-1,,41.217.58.176
10bdb41b-7f8e-43d9-b510-59ac466f5467,"2020-06-01, 01:13:53 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-femono-bucket""}]",,us-east-1,,41.217.58.176
23c02204-6386-4b19-882d-f39f9f1c5b96,"2020-06-01, 01:13:53 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-femono-bucket""}]",,us-east-1,,41.217.58.176
555c13e5-a2c1-40fe-aaf4-ef20e3f8db4b,"2020-06-01, 01:13:44 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-femono-bucket""}]",,us-east-1,,41.217.58.176
c33838fc-0b6e-45f9-8639-58397ba9d396,"2020-06-01, 01:10:59 PM",CloudTrail,DeleteTrail,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:472858849231:trail/Udacity_Trail""}]",,us-east-1,,41.217.58.176
f2d70082-a330-4c09-bbfe-f09944f17f04,"2020-06-01, 01:09:33 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
900afaa2-29e6-4302-b469-dbe22f2255c2,"2020-06-01, 01:08:54 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,41.217.58.176
